Age,Gender,1. Which device do you use the most during the day?  ,2. What is your average daily screen time (combining all devices e.g. 6.7)?  ,3. What is the longest you typically look at a screen WITHOUT taking a break?  ,4. At what distance do you usually hold/view your screen?,5. In what lighting condition do you mostly use your devices?  ,"6. Do you use ""Night Mode,"" ""Eye Comfort Shield,"" or ""Blue Light Filters""? ",7. Screen Position: Where is the top of your screen relative to your eyes?  ,8. Do your parents (father or mother) wear glasses for distance vision?  ,9. How many liters of water do you drink daily? (Hydration affects dry eyes)  ,10. Do you consciously try to blink often while using screens?  ,11. Do you currently wear spectacles (glasses) or contact lenses?  ,"12. How frequently do you experience symptoms like headache, dry eyes, or blurred vision after using devices?  "
67,Female,Laptop/Desktop,10,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),"No, never",At eye level (Looking straight),No,Less than 1 Liter,No/ I don't pay attention,Yes,Never
18,Female,Laptop/Desktop,3,1 to 2 hours,Far (> 50 cm / Desktop distance),Dark room (Lights off),Sometimes,Lying down in bed (Variable),No,Less than 1 Liter,Yes,Yes,Rarely
18,Female,Tablet,4,1 to 2 hours,Far (> 50 cm / Desktop distance),Well-lit room (Natural or bright light),"No, never",Lying down in bed (Variable),No,Less than 1 Liter,No/ I don't pay attention,Yes,Frequently/Every Day
18,Female,Laptop/Desktop,6,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Lying down in bed (Variable),No,Less than 1 Liter,Yes,Yes,Rarely
50,Female,Laptop/Desktop,5,Less than 30 mins,Far (> 50 cm / Desktop distance),Dim light / Low light,Sometimes,Lying down in bed (Variable),"Yes, one parent",More than 2 Liters,No/ I don't pay attention,Yes,Sometimes
21,Male,Laptop/Desktop,12,1 to 2 hours,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, one parent",More than 2 Liters,Yes,Yes,Rarely
47,Male,Laptop/Desktop,6,30 to 60 mins,Very Close (< 30 cm),Well-lit room (Natural or bright light),"Yes, always",At eye level (Looking straight),"Yes, both parents",1 to 2 Liters,Yes,Yes,Never
19,Male,Smartphone,5,1 to 2 hours,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"No, never",Lying down in bed (Variable),"Yes, one parent",1 to 2 Liters,No/ I don't pay attention,No,Sometimes
23,Male,Smartphone,3,Less than 30 mins,Arm's Length (Approx. 40-50 cm),Well-lit room (Natural or bright light),"Yes, always",Below eye level (Looking slightly down - Ideal),No,Less than 1 Liter,Yes,No,Never
14,Female,Smartphone,7,1 to 2 hours,Far (> 50 cm / Desktop distance),Dark room (Lights off),"No, never",Above eye level (Looking up),"Yes, both parents",Less than 1 Liter,Yes,No,Never
